Gauge,25yr,50yr,100yr,25yr_a31,50yr_a31,100yr_a31,25yr_b31,50yr_b31,100yr_b31
1,78.06400624,93.08116544,109.8763939,74.59891468,88.04891524,103.0345362,80.95474487,97.20620318,115.3096276
2,81.27347811,96.53922208,113.3213705,76.95384669,90.98499313,106.308656,84.66355151,100.875399,118.7490979
3,80.41690801,97.48032254,117.083151,74.98886093,87.92670836,102.1819863,86.16097194,106.6755174,129.8171525
4,75.06330381,88.24077187,102.3660526,74.00300295,86.824122,100.4750417,75.98293299,89.38240081,103.8449904
5,80.19956147,95.70816752,112.8744846,77.55790822,92.9915837,110.5702747,82.12914086,97.48962482,114.1274499
7,78.16700486,92.19510292,107.398589,74.24449758,86.4443961,99.38049928,81.9047559,97.36005435,114.2289786
8,77.87194884,91.31837798,105.7295713,77.03725806,90.26327238,104.549112,78.47833416,91.98492316,106.3764799
9,79.03599904,92.62883642,107.185835,74.96880536,87.69048127,101.4649326,82.4220774,96.50780475,111.4931867
10,77.26586028,90.23261857,104.0292698,74.64211501,87.29534046,100.8476826,79.12323303,92.28528857,106.2225444
11,77.33176515,91.42466051,106.798191,77.34037083,90.96212433,105.8110687,77.17789178,91.57489416,107.3008324
12,75.9197926,89.54323055,104.2317641,74.82975872,87.85074665,101.9752651,76.93391464,90.9557962,105.9845618
13,75.36373015,90.1902567,106.6666382,67.36614286,78.8670037,91.61899579,82.51990977,99.19840246,117.4896449
14,77.69169695,91.20637081,105.7744973,76.55819428,89.86419775,104.2503598,78.22869144,91.87355221,106.5466138
15,73.73475716,87.24676857,102.5944746,70.59068198,81.66492734,93.4156064,77.91101229,93.7211581,112.2199455
16,77.74126613,93.04621013,110.1800715,73.08773863,85.14370561,98.07663156,82.72367111,100.7171606,120.8026074
17,73.02879544,85.34569939,98.50567439,71.37390284,83.38224322,96.34192904,74.28793827,86.74255049,99.9614813
18,80.08341714,93.95258593,108.8503329,76.15415229,89.13901503,103.2037831,83.21896755,97.6398124,113.0289775
19,79.63324305,93.2785061,107.9824959,75.11566138,87.43442422,100.7888842,83.33453179,97.84232539,113.3501523
20,79.57522761,93.33093855,108.096464,78.3490941,91.42754569,105.4496136,80.27403403,94.61132085,109.9924998
21,75.20408013,89.09251276,104.5960127,69.08198575,79.60862168,90.6647742,82.09317157,98.56969562,116.9506612
22,76.58693466,90.52239713,106.0328609,69.35451734,80.6539179,92.69409731,83.45778313,99.21421985,117.0161174
